Date	Category	Non-Capital	Capital	% Business Use	Business Cost	Nett GST	GST Paid	Notes
12 Oct 2023	7 REES ST EXPENSES	$116.69	-	100%	$116.69	$106.08	$10.61	Air B& B supplies
24 Oct 2023	7 REES ST EXPENSES	$36.00	-	100%	$36.00	$32.73	$3.27	RODE POOL SERVICE WINDSOR
12 Apr 2024	7 REES ST EXPENSES	$118.04	-	100%	$118.04	$107.31	$10.73	Cleaning chemicals and hire brutes carpet and upholstery cleaner
13 Apr 2024	7 REES ST EXPENSES	$22.53	-	100%	$22.53	$20.48	$2.05	Timber filler and paint scraper for repairs to railing
13 Apr 2024	7 REES ST EXPENSES	$422.82	-	100%	$422.82	$384.38	$38.44	Supply and Install Replacement Parts for Fisher & Paykel Dishwasher
16 Apr 2024	7 REES ST EXPENSES	$55.00	-	100%	$55.00	$50.00	$5.00	Globes for lights
02 Apr 2024	7 REES ST EXPENSES	$35.00	-	100%	$35.00	$31.82	$3.18	Batteries and camphor 
02 Apr 2024	7 REES ST EXPENSES	$8.25	-	100%	$8.25	$7.50	$0.75	Replacement dimmer switc
14 Oct 2023	7 REES ST EXPENSES	$25.10	-	100%	$25.10	$22.82	$2.28	Air B&B expenses
15 Oct 2023	7 REES ST EXPENSES	$54.30	-	100%	$54.30	$49.36	$4.94	Towels 
15 Oct 2023	7 REES ST EXPENSES	$30.00	-	100%	$30.00	$27.27	$2.73	Side table
13 Apr 2024	7 REES ST EXPENSES	$22.53	-	100%	$22.53	$20.48	$2.05	BUNNINGS WAREHOUSE STAF STAFFORD
02 Jan 2024	7 REES ST EXPENSES	$208.75	-	100%	$208.75	$189.77	$18.98	ElectricityORIGIN ENERGY BARANGAROO
13 Nov 2023	7 REES ST EXPENSES	$6.70	-	100%	$6.70	$6.09	$0.61	Milk for guests Air B&B
03 Nov 2023	7 REES ST EXPENSES	$225.52	-	100%	$225.52	$205.02	$20.50	Gas
13 Nov 2023	7 REES ST EXPENSES	$4.25	-	100%	$4.25	$3.86	$0.39	Glad tidy wave rubbish bin liners
13 Nov 2023	7 REES ST EXPENSES	$1,413.55	-	100%	$1,413.55	$1,285.05	$128.50	BCC RATES 
02 Apr 2024	7 REES ST EXPENSES	$35.00	-	100%	$35.00	$31.82	$3.18	Air B&B expenses
03 Apr 2024	7 REES ST EXPENSES	$1,019.60	-	100%	$1,019.60	$926.91	$92.69	Electricity ORIGIN ENERGY 
03 Apr 2024	7 REES ST EXPENSES	$8.26	-	100%	$8.26	$7.51	$0.75	New cap for fan control IDEAL ELECTRICAL SUP - Visa Purchase - Receipt 179058In ENOGGERA Date 02 Apr 2024 Card 462263xxxxxx1990
13 Nov 2023	7 REES ST EXPENSES	$24.95	-	100%	$24.95	$22.68	$2.27	Keys cut SQ *MISTER MINIT 
27 Apr 2024	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
04 Nov 2023	7 REES ST EXPENSES	$40.81	-	100%	$40.81	$37.10	$3.71	Algaecide and stone bench cleaner
24 Apr 2024	7 REES ST EXPENSES	$5.70	-	100%	$5.70	$5.18	$0.52	Air B&B expenses
30 Apr 2024	7 REES ST EXPENSES	$12.50	-	100%	$12.50	$11.36	$1.14	Hose couplers x 2
11 Apr 2024	7 REES ST EXPENSES	$84.33	-	100%	$84.33	$76.66	$7.67	Cockroach bait and child gate for stairs
02 May 2024	7 REES ST EXPENSES	$1,413.55	-	100%	$1,413.55	$1,285.05	$128.50	BCC RATES 500000001123156 - BPAY Bill Payment - Receipt 436387 To BCC RATES 500000001123156
20 Nov 2023	7 REES ST EXPENSES	$534.62	-	100%	$534.62	$486.02	$48.60	Urban Utilities 
04 May 2024	7 REES ST EXPENSES	$35.30	-	100%	$35.30	$32.09	$3.21	Milk the, washing powder
07 May 2024	7 REES ST EXPENSES	$18.48	-	100%	$18.48	$16.80	$1.68	Jig saw blades needed for front deck repairs
07 May 2024	7 REES ST EXPENSES	$95.81	-	100%	$95.81	$87.10	$8.71	Paint paintbrush, gap filler for repairs to front decking
07 May 2024	7 REES ST EXPENSES	$126.40	-	100%	$126.40	$114.91	$11.49	Timber for repairs to front deck
07 May 2024	7 REES ST EXPENSES	$114.91	-	100%	$114.91	$104.46	$10.45	Wood for repairs to front verandah
08 May 2024	7 REES ST EXPENSES	$59.46	-	100%	$59.46	$54.05	$5.41	Hire of reciprocating saw and purchase of blade used for repairs to front deck
09 May 2024	7 REES ST EXPENSES	$54.30	-	100%	$54.30	$49.36	$4.94	Tarpaulin screws, nails needed for repairs to front deck
09 May 2024	7 REES ST EXPENSES	$54.05	-	100%	$54.05	$49.14	$4.91	Hope of reciprocating saw
09 May 2024	7 REES ST EXPENSES	$203.25	-	100%	$203.25	$184.77	$18.48	Gas
10 May 2024	7 REES ST EXPENSES	$521.00	-	100%	$521.00	$473.64	$47.36	Boss downlight covers to improve fire safety
10 May 2024	7 REES ST EXPENSES	$2.75	-	100%	$2.75	$2.50	$0.25	COLES 4528 - Visa Purchase - Receipt 132502In NEWMARKET Date 09 May 2024 Card 462263xxxxxx1990
12 May 2024	7 REES ST EXPENSES	$54.30	-	100%	$54.30	$49.36	$4.94	BUNNINGS 429000 - Visa Purchase - Receipt 146973In STAFFORD Date 09 May 2024 Card 462263xxxxxx1990
12 May 2024	7 REES ST EXPENSES	$29.64	-	100%	$29.64	$26.95	$2.69	Petrol for mower NIGHTOWL KELVIN GROVE - Visa Purchase - Receipt 146971In KELVIN GROVE Date 11 May 2024 Card 462263xxxxxx1990
17 May 2024	7 REES ST EXPENSES	$469.03	-	100%	$469.03	$426.39	$42.64	Urban Utilities water and sewage
19 May 2024	7 REES ST EXPENSES	$117.89	-	100%	$117.89	$107.17	$10.72	30 L Chlorine and 20L acid for pool top-up while we are overseas
19 May 2024	7 REES ST EXPENSES	$471.42	-	100%	$471.42	$428.56	$42.86	QUEENSLAND URBAN UTI - Visa Purchase - Receipt 100395In FORTITUDE VA Date 17 May 2024 Card 462263xxxxxx1990
21 May 2024	7 REES ST EXPENSES	$16.60	-	100%	$16.60	$15.09	$1.51	Milk kitchen detergent
24 May 2024	7 REES ST EXPENSES	$99.00	-	100%	$99.00	$90.00	$9.00	Brisbane cleaning services
27 May 2024	7 REES ST EXPENSES	$110.00	-	100%	$110.00	$100.00	$10.00	Internet access for airb&B
27 May 2024	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
17 Jun 2024	7 REES ST EXPENSES	$198.00	-	100%	$198.00	$180.00	$18.00	Invoice 4455 - Transfer to Bris Cleaning Services Pty Td - Receipt 668959 To 064164 10783764
24 Jun 2024	7 REES ST EXPENSES	$198.00	-	100%	$198.00	$180.00	$18.00	Cleaning of property
27 Jun 2024	7 REES ST EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	AirB&B Internet Service
16 Feb 2024	ACCOUNTANT	$198.00	-	100%	$198.00	$180.00	$18.00	Payment from Pamela to LMC
21 May 2024	ACCOUNTANT	$275.00	-	100%	$275.00	$250.00	$25.00	2023 Tax Return
21 May 2024	ACCOUNTANT	$880.00	-	100%	$880.00	$800.00	$80.00	Sweetapple Cumpston Family Trust 2023
01 Apr 2024	AMEX CREDIT CARD FEES	$450.00	-	100%	$450.00	$450.00	-	ANNUAL CARD FEE
15 Oct 2023	AMEX CREDIT CARD FEES	$240.00	-	100%	$240.00	$240.00	-	ANNUAL FEE
25 Aug 2023	AUSTRALIAN TAX OFFICE	$16,523.19	-	100%	$16,523.19	$16,523.19	-	 ATO EFT Deposits trust account
25 Aug 2023	AUSTRALIAN TAX OFFICE	$683.00	-	100%	$683.00	$683.00	-	ATO EFT Deposits trust account
17 May 2024	AUSTRALIAN TAX OFFICE	$888.00	-	100%	$888.00	$888.00	-	BAS for SC family trust
30 May 2024	AUSTRALIAN TAX OFFICE	$1,143.15	-	100%	$1,143.15	$1,143.15	-	2023 tax return - BPAY Bill Payment - Receipt 809607 To TAX OFFICE PAYMENTS 551006721344594101
07 Jul 2023	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
19 Mar 2024	BANK CHARGES	$3.00	-	100%	$3.00	$3.00	-	CASH ADVANCE FEE-OTHER
05 Jul 2023	BANK CHARGES	$21.72	-	100%	$21.72	$21.72	-	DEBIT INTEREST CHARGED
05 Jul 2023	BANK CHARGES	$7.93	-	100%	$7.93	$7.93	-	CASH ADVANCE FEE-OVERSEAS
03 Oct 2023	BANK CHARGES	$0.60	-	100%	$0.60	$0.60	-	CASH ADVANCE FEE-OTHER
08 Mar 2024	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
05 Dec 2023	BANK CHARGES	$2.26	-	100%	$2.26	$2.26	-	DEBIT INTEREST CHARGED
05 Oct 2023	BANK CHARGES	$0.32	-	100%	$0.32	$0.32	-	DEBIT INTEREST CHARGED
09 Oct 2023	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
16 Jul 2023	BANK CHARGES	$2.19	-	100%	$2.19	$2.19	-	INTEREST CHARGED ON CASH
08 Dec 2023	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
05 Jan 2024	BANK CHARGES	$149.59	-	100%	$149.59	$149.59	-	CREDIT FACILITY FEE - OVERDRAFTS
05 Jan 2024	BANK CHARGES	$1.04	-	100%	$1.04	$1.04	-	DEBIT INTEREST CHARGED
15 Oct 2023	BANK CHARGES	$0.12	-	100%	$0.12	$0.12	-	INTEREST CHARGED ON CASH
15 Oct 2023	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ADDITIONAL CARD FEE
09 Jan 2024	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
04 Aug 2023	BANK CHARGES	$3.42	-	100%	$3.42	$3.42	-	DEBIT INTEREST CHARGED
09 Aug 2023	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
05 Apr 2024	BANK CHARGES	$10.64	-	100%	$10.64	$10.64	-	DEBIT INTEREST CHARGED
09 Apr 2024	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
14 Apr 2024	BANK CHARGES	$0.03	-	100%	$0.03	$0.03	-	INTEREST CHARGED ON CASH
30 Oct 2023	BANK CHARGES	$4.34	-	100%	$4.34	$4.34	-	CASH ADVANCE FEE-OVERSEAS
05 Feb 2024	BANK CHARGES	$5.22	-	100%	$5.22	$5.22	-	DEBIT INTEREST CHARGED
03 Nov 2023	BANK CHARGES	$2.27	-	100%	$2.27	$2.27	-	DEBIT INTEREST CHARGED
05 Sep 2023	BANK CHARGES	$6.00	-	100%	$6.00	$6.00	-	DEBIT INTEREST CHARGED
08 Sep 2023	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
09 Feb 2024	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
09 Nov 2023	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
14 Nov 2023	BANK CHARGES	$1.08	-	100%	$1.08	$1.08	-	INTEREST CHARGED ON CASH
03 May 2024	BANK CHARGES	$0.02	-	100%	$0.02	$0.02	-	DEBIT INTEREST CHARGED
09 May 2024	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
05 Jun 2024	BANK CHARGES	$7.61	-	100%	$7.61	$7.61	-	DEBIT INTEREST CHARGED
07 Jun 2024	BANK CHARGES	$10.00	-	100%	$10.00	$10.00	-	ACCOUNT SERVICING FEE
02 Oct 2023	CLC - 12 EMERALD STREET	$32.95	-	100%	$32.95	$32.95	-	SAUERS PRODUCE COOROY
30 Aug 2023	CLC - 12 EMERALD STREET	$770.00	-	100%	$770.00	$770.00	-	Cooroy Legal centre
02 Sep 2023	CLC - 12 EMERALD STREET	$135.20	-	100%	$135.20	$122.91	$12.29	Paint for repairs to front steps and rails
01 Jan 2024	CLC - 12 EMERALD STREET	$140.00	-	100%	$140.00	$127.27	$12.73	Mowing pruning, brush cutting garden
03 Oct 2023	CLC - 12 EMERALD STREET	$332.33	-	100%	$332.33	$302.12	$30.21	Origin energy - electricity account
09 Jul 2023	CLC - 12 EMERALD STREET	$20.92	-	100%	$20.92	$19.02	$1.90	Potting mix
04 Oct 2023	CLC - 12 EMERALD STREET	$120.00	-	100%	$120.00	$120.00	-	Mowing and brushcutting - Sean Thrupp
18 Dec 2023	CLC - 12 EMERALD STREET	$69.70	-	100%	$69.70	$69.70	-	SAUERS PRODUCE COOROY
13 Jul 2023	CLC - 12 EMERALD STREET	$2,811.46	-	100%	$2,811.46	$2,811.46	-	INTEREST
14 Jul 2023	CLC - 12 EMERALD STREET	$10,000.00	-	100%	$10,000.00	$10,000.00	-	Cooroy Legal Centre
13 Oct 2023	CLC - 12 EMERALD STREET	$2,231.63	-	100%	$2,231.63	$2,231.63	-	INTEREST
05 Sep 2023	CLC - 12 EMERALD STREET	$897.67	-	100%	$897.67	$816.06	$81.61	Aquascape - repairs to pond including pipe replacement and new pump
31 Jul 2023	CLC - 12 EMERALD STREET	$40.00	-	100%	$40.00	$36.36	$3.64	Gardening - mowing and brush cutting
14 Aug 2023	CLC - 12 EMERALD STREET	$1,501.51	-	100%	$1,501.51	$1,501.51	-	INTEREST
12 Sep 2023	CLC - 12 EMERALD STREET	$40.00	-	100%	$40.00	$36.36	$3.64	Gardening - mow and brush cutting
09 Nov 2023	CLC - 12 EMERALD STREET	$1,295.99	-	100%	$1,295.99	$1,295.99	-	Noosa Council Rates
13 Sep 2023	CLC - 12 EMERALD STREET	$1,910.53	-	100%	$1,910.53	$1,910.53	-	INTEREST
15 Aug 2023	CLC - 12 EMERALD STREET	$40.00	-	100%	$40.00	$36.36	$3.64	Gardening - mowing and brush cutting
16 Aug 2023	CLC - 12 EMERALD STREET	$14.95	-	100%	$14.95	$14.95	-	Sauers Produce - plants
16 Aug 2023	CLC - 12 EMERALD STREET	$115.95	-	100%	$115.95	$115.95	-	Sauers Produce - plants
17 Aug 2023	CLC - 12 EMERALD STREET	$242.38	-	100%	$242.38	$220.35	$22.03	Unity water - water and sewage
13 Nov 2023	CLC - 12 EMERALD STREET	$2,583.09	-	100%	$2,583.09	$2,583.09	-	INTEREST
14 Nov 2023	CLC - 12 EMERALD STREET	$0.51	-	100%	$0.51	$0.51	-	INTEREST ADJUSTMENT
22 Nov 2023	CLC - 12 EMERALD STREET	$64.90	-	100%	$64.90	$59.00	$5.90	Life force gold fertiliser
23 Feb 2024	CLC - 12 EMERALD STREET	$160.00	-	100%	$160.00	$160.00	-	Cooroy Legal Centre
13 May 2024	CLC - 12 EMERALD STREET	$3,043.92	-	100%	$3,043.92	$3,043.92	-	INTEREST
11 Jan 2024	CLC - 12 EMERALD STREET	$80.00	-	100%	$80.00	$72.73	$7.27	Mowing and brush cutting gardens
21 May 2024	CLC - 12 EMERALD STREET	$40.00	-	100%	$40.00	$36.36	$3.64	Mowing and brushcutting
15 Jan 2024	CLC - 12 EMERALD STREET	$10,573.30	-	100%	$10,573.30	$10,573.30	-	Land Tax
15 Jan 2024	CLC - 12 EMERALD STREET	$2,944.98	-	100%	$2,944.98	$2,944.98	-	INTEREST
04 Jun 2024	CLC - 12 EMERALD STREET	$40.00	-	100%	$40.00	$36.36	$3.64	Mowing and brushcutting
16 Jan 2024	CLC - 12 EMERALD STREET	$6,884.98	-	100%	$6,884.98	$6,884.98	-	Cooroy land tax (625178 over both trust properties
13 Jun 2024	CLC - 12 EMERALD STREET	$3,299.33	-	100%	$3,299.33	$3,299.33	-	INTEREST
24 Jan 2024	CLC - 12 EMERALD STREET	$897.67	-	100%	$897.67	$816.06	$81.61	Installation of new pump for water feature at front of property
13 Feb 2024	CLC - 12 EMERALD STREET	$3,012.12	-	100%	$3,012.12	$3,012.12	-	INTEREST
14 Feb 2024	CLC - 12 EMERALD STREET	$71.22	-	100%	$71.22	$71.22	-	Plants BUNNINGS WAREHOUSE 8027 NOOSAVILLE
16 Feb 2024	CLC - 12 EMERALD STREET	$1,241.87	-	100%	$1,241.87	$1,241.87	-	Noosa Council Rates
13 Mar 2024	CLC - 12 EMERALD STREET	$2,867.02	-	100%	$2,867.02	$2,867.02	-	INTEREST
28 Mar 2024	CLC - 12 EMERALD STREET	$494.96	-	100%	$494.96	$449.96	$45.00	Electricity Bill
28 Mar 2024	CLC - 12 EMERALD STREET	$170.00	-	100%	$170.00	$170.00	-	ANZ MOBILE BANKING PAYMENT 660999 TO Cooroy Legal Centre
09 Apr 2024	CLC - 12 EMERALD STREET	$40.00	-	100%	$40.00	$36.36	$3.64	Mowing and brushcutting
13 Dec 2023	CLC - 12 EMERALD STREET	$2,831.32	-	100%	$2,831.32	$2,831.32	-	INTEREST
15 Apr 2024	CLC - 12 EMERALD STREET	$3,100.42	-	100%	$3,100.42	$3,100.42	-	INTEREST
16 Apr 2024	CLC - 12 EMERALD STREET	$374.00	-	100%	$374.00	$340.00	$34.00	Aquascape repairs to fountain at front of premises
18 Apr 2024	CLC - 12 EMERALD STREET	$41.42	-	100%	$41.42	$37.65	$3.77	Potting mix
23 Apr 2024	CLC - 12 EMERALD STREET	$40.00	-	100%	$40.00	$36.36	$3.64	Mowing and brushcutting
26 Apr 2024	CLC - 12 EMERALD STREET	$300.00	-	100%	$300.00	$300.00	-	Cooroy Legal Centre
26 Apr 2024	COUNCIL RATES AND TAXES	$69.00	-	100%	$69.00	$69.00	-	NOOSA SHIRE COUNCIL TEWANTIN
09 Aug 2023	COUNCIL RATES AND TAXES	$1,023.48	-	100%	$1,023.48	$1,023.48	-	Brisbane City Council
14 Aug 2023	COUNCIL RATES AND TAXES	$1,023.48	-	100%	$1,023.48	$1,023.48	-	NOOSA SHIRE COUNCIL EP TEWANTIN
16 Feb 2024	COUNCIL RATES AND TAXES	$1,023.48	-	100%	$1,023.48	$1,023.48	-	NOOSA SHIRE COUNCIL EP TEWANTIN
09 Jan 2024	FURBER RD	$2,772.00	-	100%	$2,772.00	$2,520.00	$252.00	Steve Whelan and Associates
03 Aug 2023	FURBER RD	$25,000.00	-	100%	$25,000.00	$22,727.27	$2,272.73	ANZ MOBILE BANKING PAYMENT 714767 TO PLC Pty Ltd
20 Nov 2023	FURBER RD	$100.68	-	100%	$100.68	$91.53	$9.15	Tiles for bathrpoom renovation
04 Aug 2023	FURBER RD	$24,380.00	-	100%	$24,380.00	$22,163.64	$2,216.36	ANZ MOBILE BANKING PAYMENT 371167 TO PLC Pty Ltd
03 Jul 2023	FURBER RD	$1,500.00	-	100%	$1,500.00	$1,363.64	$136.36	PLC Pty Ltd
27 Sep 2023	FURBER RD	$10.43	-	100%	$10.43	$9.48	$0.95	BUNNINGS 422000 ROCKDALE
16 May 2024	FURBER RD	$522.01	-	100%	$522.01	$474.55	$47.46	BOSS PASSIVE FIRE PT TAREN POINT
09 Aug 2023	FURBER RD	$1,256.00	-	100%	$1,256.00	$1,141.82	$114.18	CASS BROS BATHROOMS PETERSHAM
28 Sep 2023	FURBER RD	$10,000.00	-	100%	$10,000.00	$9,090.91	$909.09	ANZ MOBILE BANKING PAYMENT 699902 TO PLC Pty Ltd
09 Aug 2023	FURBER RD	$79.00	-	100%	$79.00	$71.82	$7.18	CASS BROS BATHROOMS PETERSHAM
27 May 2024	FURBER RD	$243.20	-	100%	$243.20	$221.09	$22.11	ANZ INTERNET BANKING BPAY CITY OF SYDNEY {486739}
26 Feb 2024	FURBER RD	$2,406.25	-	100%	$2,406.25	$2,187.50	$218.75	ANZ INTERNET BANKING BPAY STRATAPAY-LEVY 
28 Sep 2023	FURBER RD	$5,548.75	-	100%	$5,548.75	$5,044.32	$504.43	ANZ MOBILE BANKING PAYMENT 622565 TO PLC Pty Ltd
30 Sep 2023	FURBER RD	$85.83	-	100%	$85.83	$78.03	$7.80	BUNNINGS WAREHOUSE ALEX ALEXANDRIA
27 Feb 2024	FURBER RD	$243.20	-	100%	$243.20	$221.09	$22.11	ANZ INTERNET BANKING BPAY CITY OF SYDNEY {187677}
02 Oct 2023	FURBER RD	$4,880.06	-	100%	$4,880.06	$4,436.42	$443.64	ANZ INTERNET BANKING BPAY STRATAPAY-LEVY 
14 Aug 2023	FURBER RD	$5,000.00	-	100%	$5,000.00	$4,545.45	$454.55	JDS ELECTRICAL & SOLAR RABY
27 Nov 2023	FURBER RD	$243.20	-	100%	$243.20	$221.09	$22.11	ANZ INTERNET BANKING BPAY CITY OF SYDNEY {869196}
28 Aug 2023	FURBER RD	$2,406.25	-	100%	$2,406.25	$2,187.50	$218.75	ANZ INTERNET BANKING BPAY STRATAPAY-LEVY 
28 Aug 2023	FURBER RD	$243.20	-	100%	$243.20	$221.09	$22.11	ANZ INTERNET BANKING BPAY CITY OF SYDNEY {274213}
29 Aug 2023	FURBER RD	$8,742.50	-	100%	$8,742.50	$7,947.73	$794.77	ANZ MOBILE BANKING PAYMENT 931029 TO Straight Edge Flooring
30 Aug 2023	FURBER RD	-	$58,201.97	100%	$58,201.97	$52,910.88	$5,291.09	22 Furber Road Labour and materials
30 Aug 2023	FURBER RD	$10,000.00	-	100%	$10,000.00	$9,090.91	$909.09	 PLC Pty Ltd
31 Aug 2023	FURBER RD	$10,000.00	-	100%	$10,000.00	$9,090.91	$909.09	ANZ MOBILE BANKING PAYMENT 475556 TO PLC Pty Ltd
01 Sep 2023	FURBER RD	$10,000.00	-	100%	$10,000.00	$9,090.91	$909.09	ANZ MOBILE BANKING PAYMENT 500269 TO PLC Pty Ltd
03 Sep 2023	FURBER RD	$126.12	-	100%	$126.12	$114.65	$11.47	BUNNINGS WAREHOUSE 8057 KEPERRA
04 Sep 2023	FURBER RD	$8,201.97	-	100%	$8,201.97	$7,456.34	$745.63	ANZ MOBILE BANKING PAYMENT 771217 TO PLC Pty Ltd
04 Sep 2023	FURBER RD	$10,000.00	-	100%	$10,000.00	$9,090.91	$909.09	 PLC Pty Ltd
08 Sep 2023	FURBER RD	$2,423.00	-	100%	$2,423.00	$2,202.73	$220.27	Piano Movers FRANKSTON SOU
11 Sep 2023	FURBER RD	-	$6,500.00	100%	$6,500.00	$5,909.09	$590.91	Electrician
27 Dec 2023	FURBER RD	$1,318.57	-	100%	$1,318.57	$1,198.70	$119.87	ANZ INTERNET BANKING BPAY STRATAPAY-LEVY 
27 Nov 2023	FURBER RD	$3,762.00	-	100%	$3,762.00	$3,420.00	$342.00	PLC Pty Ltd
06 Mar 2024	FURBER RD	$435.91	-	100%	$435.91	$396.28	$39.63	SERVICE NSW SYDNEY
22 Sep 2023	FURBER RD	$15.88	-	100%	$15.88	$14.44	$1.44	BUNNINGS WAREHOUSE ALEX ALEXANDRIA
23 Sep 2023	FURBER RD	$201.86	-	100%	$201.86	$183.51	$18.35	BUNNINGS WAREHOUSE ALEX ALEXANDRIA
25 Sep 2023	FURBER RD	$29.10	-	100%	$29.10	$26.45	$2.65	BUNNINGS ROZELLE ROZELLE
25 Sep 2023	FURBER RD	$818.00	-	100%	$818.00	$743.64	$74.36	Television ? THE GOOD GUYS MOORE PARK
26 Sep 2023	FURBER RD	$230.00	-	100%	$230.00	$209.09	$20.91	SHACK HOMEWARES ALEXANDRIA
27 Sep 2023	FURBER RD	$10,000.00	-	100%	$10,000.00	$9,090.91	$909.09	ANZ MOBILE BANKING PAYMENT 922313 TO PLC Pty Ltd
06 Mar 2024	FURBER RD	$737.93	-	100%	$737.93	$670.85	$67.08	NRMA WEB SYDNEY
30 Nov 2023	FURBER RD	$90.00	-	100%	$90.00	$81.82	$8.18	Tiles
03 Oct 2023	FURBER RD	$186.00	-	100%	$186.00	$169.09	$16.91	TEMPLE & WEBSTER ST PETERS
06 Oct 2023	FURBER RD	$3,362.50	-	100%	$3,362.50	$3,056.82	$305.68	ANZ MOBILE BANKING PAYMENT 291341 TO Straight edge flooring
16 Oct 2023	FURBER RD	$19.90	-	100%	$19.90	$18.09	$1.81	BEACON LIGHTING 158 KENSINGTON
16 Oct 2023	FURBER RD	$96.00	-	100%	$96.00	$87.27	$8.73	BEACON LIGHTING 158 KENSINGTON
16 Oct 2023	FURBER RD	$260.90	-	100%	$260.90	$237.18	$23.72	BLUE DOG POSTER AND NEWTOWN
16 Oct 2023	FURBER RD	$2,752.20	-	100%	$2,752.20	$2,502.00	$250.20	JDS ELECTRICAL & SOLAR RABY
16 Oct 2023	FURBER RD	$2,196.00	-	100%	$2,196.00	$1,996.36	$199.64	JDS ELECTRICAL & SOLAR RABY
09 Apr 2024	FURBER RD	$9,457.06	-	100%	$9,457.06	$8,597.33	$859.73	PLC Pty Ltd
24 Oct 2023	FURBER RD	$10,000.00	-	100%	$10,000.00	$9,090.91	$909.09	ANZ MOBILE BANKING PAYMENT 990481 TO PLC Pty Ltd
24 Oct 2023	FURBER RD	$139.85	-	100%	$139.85	$127.14	$12.71	TEMPLE & WEBSTER ST PETERS
25 Oct 2023	FURBER RD	$9,300.00	-	100%	$9,300.00	$8,454.55	$845.45	ANZ MOBILE BANKING PAYMENT 223290 TO PLC Pty Ltd
02 Nov 2023	FURBER RD	$10,000.00	-	100%	$10,000.00	$9,090.91	$909.09	PLC Pty Ltd
13 Nov 2023	FURBER RD	$8,624.00	-	100%	$8,624.00	$7,840.00	$784.00	 A W McKee
05 Jan 2024	HEALTH EXPENSES	$85.00	-	100%	$85.00	$85.00	-	COOROY DENTAL SURGERY after kHF rebate
03 Jan 2024	HEALTH EXPENSES	$56.05	-	100%	$56.05	$56.05	-	LIVELIFE PHARMACY COORO COOROY
06 Jan 2024	HEALTH EXPENSES	$1,000.00	-	100%	$1,000.00	$1,000.00	-	Perrys Fitness Pty Lt - Visa Purchase - Receipt 165614In COOROY Date 05 Jan 2024 Card 462263xxxxxx7489
06 Feb 2024	HEALTH EXPENSES	$9.99	-	100%	$9.99	$9.08	$0.91	Systane eye drops
08 Feb 2024	HEALTH EXPENSES	$12.19	-	100%	$12.19	$12.19	-	FLO CRS starter kit
17 Jul 2023	HEALTH EXPENSES	$43.58	-	100%	$43.58	$43.58	-	LIVELIFE PHARMACY COORO COOROY
19 Jul 2023	HEALTH EXPENSES	$35.59	-	0%	-	-	-	Medication
19 Jul 2023	HEALTH EXPENSES	$35.59	-	100%	$35.59	$35.59	-	JOHN BELL PHARMACY WOOLLAHRA
06 Sep 2023	HEALTH EXPENSES	$31.18	-	100%	$31.18	$31.18	-	Medication
08 Feb 2024	HEALTH EXPENSES	$45.99	-	100%	$45.99	$45.99	-	NEWMARKETWHOLELIFEPCY - Visa Purchase - Receipt 188390In NEWMARKET Date 06 Feb 2024 Card 462263xxxxxx7489
06 Sep 2023	HEALTH EXPENSES	$31.18	-	100%	$31.18	$31.18	-	NEWMARKET DISCOUNT DRUG NEWMARKET
10 Feb 2024	HEALTH EXPENSES	$12.19	-	100%	$12.19	$12.19	-	NEWMARKETWHOLELIFEPCY - Visa Purchase - Receipt 109756In NEWMARKET Date 08 Feb 2024 Card 462263xxxxxx1990
16 Sep 2023	HEALTH EXPENSES	$17.29	-	100%	$17.29	$17.29	-	Medication
30 Nov 2023	HEALTH EXPENSES	$106.00	-	100%	$106.00	$106.00	-	Dental treatment (Pamela) - after HF rebate
05 Feb 2024	HEALTH EXPENSES	$107.00	-	100%	$107.00	$107.00	-	Optometry examination consultation, OPTOMAP - Philip
21 Feb 2024	HEALTH EXPENSES	$23.98	-	100%	$23.98	$23.98	-	Chlorsig eye drops for infection paracetamol
27 Dec 2023	HEALTH EXPENSES	$19.89	-	100%	$19.89	$19.89	-	TERRY WHITE CHEMMART C COOROY
